player_id,name,elo_overall,elo_hard,elo_clay,elo_grass,total_matches
102286,Wayne Black,1588.9,1564.4,1501.2,1458.2,58
104813,Grega Zemlja,1588.6,1523.0,1563.5,1530.5,99
200670,J J Wolf,1588.3,1546.7,1511.4,1508.3,98
103171,Raemon Sluiter,1587.9,1484.4,1504.9,1537.4,213
103789,Irakli Labadze,1587.1,1467.7,1563.9,1464.7,133
102271,Hicham Arazi,1587.0,1582.4,1465.5,1554.0,234
102035,Jonas Bjorkman,1586.9,1505.8,1437.0,1648.5,383
104724,Eduardo Schwank,1586.5,1481.9,1600.2,1421.8,105
102839,Nicolas Lapentti,1585.8,1554.1,1587.4,1472.8,403
104368,Daniel King Turner,1585.8,1555.1,1469.5,1569.1,29
102610,Albert Costa,1585.6,1528.9,1586.5,1479.6,286
208010,Pablo Llamas Ruiz,1585.5,1528.7,1527.4,1500.0,8
127157,Daniel Altmaier,1585.2,1514.5,1536.4,1446.4,127
104198,Guillermo Garcia Lopez,1585.0,1526.8,1587.6,1481.1,653
126129,Billy Harris,1584.5,1510.1,1500.0,1519.8,15
102107,Jan Frode Andersen,1584.5,1470.6,1632.2,1500.0,34
104499,Jimmy Wang,1584.1,1578.2,1486.6,1476.7,89
101717,Diego Nargiso,1583.9,1490.7,1624.3,1500.0,12
102093,Martin Damm,1583.8,1569.8,1500.0,1500.0,3
105376,Peter Gojowczyk,1583.5,1566.4,1457.1,1514.9,175
105413,Andrej Martin,1583.1,1489.8,1567.2,1482.1,65
105032,Sam Groth,1582.7,1468.0,1494.1,1561.2,100
102131,Alistair Hunt,1582.6,1563.2,1500.0,1531.3,10
104305,Luka Gregorc,1582.5,1573.2,1467.7,1471.9,20
210012,Henrique Rocha,1582.4,1582.7,1481.8,1500.0,6
105456,Sergio Galdos,1582.3,1500.0,1585.7,1500.0,6
105373,Martin Klizan,1582.3,1584.2,1622.7,1416.6,303
104678,Viktor Troicki,1581.9,1551.3,1610.7,1536.0,571
104233,Frederik Nielsen,1581.5,1563.9,1465.8,1422.4,57
105902,James Duckworth,1581.3,1493.9,1441.9,1501.9,173
126535,Carlos Taberner,1581.3,1530.5,1516.3,1480.9,38
200318,Yu Hsiou Hsu,1581.1,1557.5,1500.0,1500.0,7
103808,Potito Starace,1580.7,1475.0,1594.6,1375.4,355
104978,Daniel Brands,1580.6,1585.3,1535.6,1476.4,153
207681,Francisco Comesana,1580.3,1570.3,1420.9,1552.3,11
105217,Thiemo De Bakker,1580.0,1533.8,1609.0,1467.0,164
103175,Toshihide Matsui,1579.8,1580.7,1500.0,1500.0,6
104210,Ryan Russell,1579.7,1618.1,1468.8,1500.0,12
144719,Jaume Munar,1579.2,1417.2,1589.7,1429.8,224
101897,Fernando Meligeni,1579.1,1501.3,1553.8,1424.3,133
105820,Juan Carlos Saez,1577.6,1500.0,1587.5,1500.0,3
102179,Antony Dupuis,1577.4,1455.8,1458.5,1552.8,193
103997,Lukasz Kubot,1577.3,1476.7,1534.3,1535.2,229
104583,Filip Polasek,1577.1,1541.0,1532.0,1500.0,2
104312,Andreas Seppi,1577.0,1561.6,1481.6,1574.9,810
104673,Julio Cesar Campozano,1576.5,1467.1,1588.6,1500.0,25
105643,Federico Delbonis,1576.4,1416.8,1595.6,1369.4,365
106065,Marco Cecchinato,1576.3,1390.4,1577.3,1408.0,207
103428,Juan Ignacio Chela,1576.2,1514.7,1644.3,1395.3,602
105487,Facundo Bagnis,1576.1,1469.4,1556.3,1409.1,131
103694,Olivier Rochus,1576.0,1596.9,1436.8,1531.3,515
104910,Tihomir Grozdanov,1575.8,1502.6,1549.8,1500.0,6
105226,Attila Balazs,1575.6,1436.1,1598.3,1492.1,56
